,sae,cnn,th1,th2,th3,mean
0,"[[256, 128, 64], [128, 256, 520]]","[[99, 22], [66, 22], [33, 22]]",81.54815481548154,80.55805580558055,67.41674167416741,76.50765076507649
1,"[[256, 128, 64], [128, 256, 520]]","[[129, 22], [96, 22], [63, 22]]",23.762376237623762,41.584158415841586,60.57605760576058,41.97419741974198
2,"[[256, 128, 64], [128, 256, 520]]","[[99, 33], [66, 32]]",93.6993699369937,92.43924392439244,88.74887488748875,91.62916291629163
3,"[[256, 128, 64], [128, 256, 520]]","[[66, 33], [99, 32]]",92.25922592259226,93.87938793879388,92.7992799279928,92.97929792979299
4,"[[256, 128, 64], [128, 256, 520]]","[[99, 53], [66, 12]]",94.23942394239424,94.68946894689469,92.97929792979298,93.96939693969398
5,"[[256, 128, 64], [128, 256, 520]]","[[119, 22], [86, 22], [53, 22]]",59.58595859585959,42.03420342034204,28.26282628262826,43.29432943294329
6,"[[256, 128, 64], [128, 256, 520]]","[[81, 33], [81, 32]]",94.5994599459946,94.32943294329434,93.51935193519351,94.14941494149416
7,"[[256, 128, 64], [128, 256, 520]]","[[333, 33], [66, 32]]",62.55625562556255,82.35823582358236,89.91899189918992,78.27782778277827
8,"[[256, 128, 64], [128, 256, 520]]","[[139, 22], [106, 22], [73, 22]]",44.82448244824482,30.333033303330332,54.9054905490549,43.35433543354335
9,"[[256, 128, 64], [128, 256, 520]]","[[99, 13], [66, 52]]",94.86948694869487,91.8991899189919,95.04950495049505,93.93939393939394
10,"[[256, 128, 64], [128, 256, 520]]","[[66, 22], [44, 22], [22, 22]]",94.50945094509451,89.82898289828984,92.97929792979298,92.43924392439244
11,"[[256, 128, 64], [128, 256, 520]]","[[333, 33], [33, 32]]",92.16921692169217,85.32853285328534,92.25922592259226,89.91899189918992
12,"[[256, 128, 64], [128, 256, 520]]","[[66, 33]]",94.95949594959497,95.04950495049505,94.77947794779477,94.92949294929493
13,"[[256, 128, 64], [128, 256, 520]]","[[66, 6]]",93.33933393339335,95.13951395139514,93.60936093609361,94.02940294029402
14,"[[256, 128, 64], [128, 256, 520]]","[[33, 6]]",94.86948694869487,93.96939693969398,94.86948694869487,94.56945694569458
15,"[[256, 128, 64], [128, 256, 520]]","[[149, 22], [116, 22], [83, 22]]",42.03420342034204,46.624662466246626,37.89378937893789,42.18421842184219
